misspelling,correct,predicted,top1,top5,rr,edit_dist
approxamate,approximate,approximate,1,1,1.0,1
approxament,approximate,approvement,0,1,0.5,4
approxamite,approximate,approximate,1,1,1.0,2
approxcimate,approximate,approximate,1,1,1.0,1
approxcmate,approximate,approximate,1,1,1.0,1
approxemate,approximate,approximate,1,1,1.0,1
approxiament,approximate,approximately,0,1,0.3333333333333333,4
approxiamte,approximate,approximate,1,1,1.0,1
approxiate,approximate,approximate,1,1,1.0,1
approximant,approximate,approximate,1,1,1.0,2
approximately,approximate,approximately,0,0,0.0,2
approximent,approximate,approximate,1,1,1.0,3
approxinate,approximate,approximate,1,1,1.0,1
approxmate,approximate,approximate,1,1,1.0,1
approxomate,approximate,approximate,1,1,1.0,1
aprocamate,approximate,approximate,1,1,1.0,3
aprocatmate,approximate,approximate,1,1,1.0,4
aprocimant,approximate,approximate,1,1,1.0,4
aprocmate,approximate,approximate,1,1,1.0,3
aprocsamate,approximate,approximate,1,1,1.0,4
apromate,approximate,promote,0,0,0.0,3
aprominate,approximate,brominate,0,0,0.0,3
aproserate,approximate,prostrate,0,1,0.5,4
aproxamate,approximate,approximate,1,1,1.0,2
aproximate,approximate,approximate,1,1,1.0,1
aproximent,approximate,approximate,1,1,1.0,4
aproxmate,approximate,approximate,1,1,1.0,2
aproxsimate,approximate,approximate,1,1,1.0,2
oppracnate,approximate,offers,0,0,0.0,5
opproxamate,approximate,approximate,1,1,1.0,2
opproximate,approximate,approximate,1,1,1.0,1
opproxomant,approximate,approximate,1,1,1.0,4
prosmate,approximate,promote,0,0,0.0,4
acprocimatly,approximately,a-quiver,0,0,0.0,3
acproxapenly,approximately,a-quiver,0,0,0.0,5
acproximently,approximately,a-quiver,0,0,0.0,4
aposimatly,approximately,aposematic,0,0,0.0,4
apoximatly,approximately,proximately,0,0,0.0,3
appoxamently,approximately,absently,0,0,0.0,5
appoxantly,approximately,apparently,0,0,0.0,5
appoximately,approximately,approximately,1,1,1.0,1
approachmently,approximately,approachment,0,0,0.0,6
approarimatly,approximately,approximately,1,1,1.0,3
approcimantly,approximately,approximately,1,1,1.0,3
approcimate,approximately,approximate,0,1,0.5,3
approcimately,approximately,approximately,1,1,1.0,1
approcimatly,approximately,approximately,1,1,1.0,2
approcimently,approximately,approximately,1,1,1.0,4
approcinately,approximately,approximately,1,1,1.0,2
approcoimently,approximately,approximately,1,1,1.0,5
approcxmately,approximately,approximately,1,1,1.0,2
approimially,approximately,apparent,0,0,0.0,4
appromaitly,approximately,apparently,0,0,0.0,4
appromariley,approximately,apparent,0,0,0.0,5
appromaxiately,approximately,approximately,1,1,1.0,3
appromentally,approximately,apparently,0,0,0.0,5
appromentaly,approximately,apparently,0,0,0.0,5
appromexally,approximately,apparent,0,0,0.0,5
appromimly,approximately,apprehensively,0,0,0.0,4
appromixaly,approximately,apparently,0,0,0.0,4
appromixately,approximately,approximately,1,1,1.0,2
approperatly,approximately,approval,0,0,0.0,4
approrilmately,approximately,approximately,1,1,1.0,2
approsemently,approximately,approximately,1,1,1.0,5
approsomently,approximately,approximately,1,1,1.0,5
approxamately,approximately,approximately,1,1,1.0,1
approxamatly,approximately,approximately,1,1,1.0,2
approxamentely,approximately,approximately,1,1,1.0,3
approxamently,approximately,approximately,1,1,1.0,4
approxametly,approximately,approximately,1,1,1.0,3
approxamontly,approximately,approximately,1,1,1.0,4
approxanatly,approximately,approximately,1,1,1.0,3
approxiamatly,approximately,approximately,1,1,1.0,2
approxiametely,approximately,approximately,1,1,1.0,2
approxiametly,approximately,approximately,1,1,1.0,2
approximatingly,approximately,approximately,1,1,1.0,3
approximatly,approximately,approximately,1,1,1.0,1
approximentally,approximately,approximately,1,1,1.0,4
approximently,approximately,approximately,1,1,1.0,3
approximinately,approximately,approximately,1,1,1.0,2
approximitely,approximately,approximately,1,1,1.0,1
approximitly,approximately,approximately,1,1,1.0,2
approximity,approximately,approximate,0,1,0.5,3
approxinatly,approximately,approximately,1,1,1.0,2
approxitaly,approximately,approximately,1,1,1.0,3
approxmatally,approximately,approximately,1,1,1.0,3
approxmately,approximately,approximately,1,1,1.0,1
approxmatily,approximately,approximately,1,1,1.0,2
approxmatly,approximately,approximately,1,1,1.0,2
approxmently,approximately,approximately,1,1,1.0,4
approxmetly,approximately,approximately,1,1,1.0,3
approxmiately,approximately,approximately,1,1,1.0,1
approxomantly,approximately,approximately,1,1,1.0,3
approxomately,approximately,approximately,1,1,1.0,1
approxomatly,approximately,approximately,1,1,1.0,2
approxonately,approximately,approximately,1,1,1.0,2
appxoromatly,approximately,apochromat,0,0,0.0,4
aprocemently,approximately,approach,0,1,0.5,6
aprocimately,approximately,approximately,1,1,1.0,2
aprockamently,approximately,approach,0,1,0.3333333333333333,7
aprockemly,approximately,africa,0,1,0.25,7
aprocmently,approximately,prominently,0,1,0.25,6
aprocmetly,approximately,approximately,1,1,1.0,5
aprocomently,approximately,approach,0,1,0.5,6
aprocumently,approximately,approach,0,1,0.5,6
apromaly,approximately,probably,0,0,0.0,5
aprominaxley,approximately,apparent,0,0,0.0,5
aprosimatly,approximately,approximately,1,1,1.0,3
aprosomately,approximately,approximately,1,1,1.0,3
aprosommently,approximately,approach,0,1,0.25,7
aproxamately,approximately,approximately,1,1,1.0,2
aproxamatly,approximately,approximately,1,1,1.0,3
aproxamently,approximately,approximately,1,1,1.0,5
aproxcintly,approximately,approximately,1,1,1.0,5
aproxiatly,approximately,approximately,1,1,1.0,3
aproximately,approximately,approximately,1,1,1.0,1
aproximatly,approximately,approximately,1,1,1.0,2
aproximently,approximately,approximately,1,1,1.0,4
aproximitty,approximately,proximity,0,1,0.5,4
aproximonthly,approximately,approximately,1,1,1.0,4
aproximotely,approximately,approximately,1,1,1.0,2
aproxinantly,approximately,approximately,1,1,1.0,4
aproxmentally,approximately,approximately,1,1,1.0,6
aproxmetly,approximately,approximately,1,1,1.0,4
aproxmiatilly,approximately,approximately,1,1,1.0,4
aproxomated,approximately,approximated,0,1,0.3333333333333333,4
apxormanately,approximately,absorbent,0,0,0.0,5
axkprocanlently,approximately,aspirations,0,0,0.0,9
axprocksimadle,approximately,aspiration,0,0,0.0,7
ococmonty,approximately,commonty,0,0,0.0,4
opproxamatly,approximately,approximately,1,1,1.0,3
opproxsimately,approximately,approximately,1,1,1.0,2
appoximations,approximations,approximations,1,1,1.0,1
archeological,archaeological,archeological,0,0,0.0,1
aer,are,aer,0,0,0.0,1
ah,are,ah,0,0,0.0,2
anr,are,and,0,0,0.0,2
ar,are,ar,0,0,0.0,1
aree,are,are,1,1,1.0,1
arre,are,are,1,1,1.0,1
arte,are,arte,0,0,0.0,1
er,are,er,0,0,0.0,2
oar,are,oar,0,0,0.0,2
or,are,or,0,0,0.0,2
ore,are,ore,0,0,0.0,1
our,are,our,0,0,0.0,3
r,are,r,0,0,0.0,2
ra,are,ra,0,0,0.0,2
rae,are,rae,0,0,0.0,1
rau,are,a,0,0,0.0,2
re,are,re,0,0,0.0,1
rea,are,rea,0,0,0.0,2
rer,are,her,0,0,0.0,2
rir,are,for,0,0,0.0,3
run,are,run,0,0,0.0,3
thet,are,thet,0,0,0.0,3
ur,are,ur,0,0,0.0,2
vea,are,a,0,0,0.0,3
are,area,are,0,0,0.0,1
eary,area,early,0,0,0.0,3
arn't,aren't,art,0,1,0.5,1
areana,arena,area,0,1,0.3333333333333333,1
argueing,arguing,arguing,1,1,1.0,1
aurgueing,arguing,arguing,1,1,1.0,2
aurguing,arguing,arguing,1,1,1.0,1
aguement,argument,agreement,0,1,0.5,2
arguement,argument,argument,1,1,1.0,1
aurgument,argument,argument,1,1,1.0,1
argumentitive,argumentative,argumentative,1,1,1.0,1
arguements,arguments,arguments,1,1,1.0,1
aurgument,arguments,argument,0,1,0.5,2
arrise,arise,arise,1,1,1.0,1
arithmatic,arithmetic,arithmetic,1,1,1.0,1
arithmatics,arithmetic,arithmetic,1,1,1.0,2
arithmitic,arithmetic,arithmetic,1,1,1.0,1
arn,arm,arn,0,0,0.0,1
aray,army,aray,0,0,0.0,1
armey,army,are,0,1,0.5,1
a_rade,around,trade,0,0,0.0,5
a_rand,around,around,1,1,1.0,3
a_rarnd,around,harvard,0,0,0.0,3
a_rond,around,around,1,1,1.0,2
a_round,around,around,1,1,1.0,1
ar,around,ar,0,0,0.0,4
ar_rounde,around,ararauna,0,0,0.0,3
arad,around,arad,0,0,0.0,3
aradret,around,margaret,0,0,0.0,5
aroand,around,around,1,1,1.0,1
arode,around,are,0,0,0.0,3
aron,around,aron,0,0,0.0,2
arond,around,and,0,1,0.5,1
aroud,around,around,1,1,1.0,1
aroude,around,around,1,1,1.0,2
arouned,around,around,1,1,1.0,1
arownd,around,around,1,1,1.0,1
arr,around,are,0,0,0.0,4
arround,around,around,1,1,1.0,1
rand,around,rand,0,0,0.0,3
rend,around,rend,0,0,0.0,3
rond,around,rond,0,0,0.0,2
roned,around,one,0,0,0.0,3
round,around,round,0,0,0.0,1
urand,around,and,0,0,0.0,3
arrouse,arouse,arouse,1,1,1.0,1
arange,arrange,range,0,1,0.5,1
a_reb,arranged,are,0,0,0.0,5
aranged,arranged,arranged,1,1,1.0,1
arrainged,arranged,arranged,1,1,1.0,1
arrange,arranged,arrange,0,0,0.0,1
arragment,arrangement,arrangement,1,1,1.0,2
arrangment,arrangement,arrangement,1,1,1.0,1
araingements,arrangements,arrangements,1,1,1.0,2
araingments,arrangements,arrangements,1,1,1.0,3
arangaments,arrangements,arrangements,1,1,1.0,2
arangement,arrangements,arrangement,0,1,0.5,2
arangements,arrangements,arrangements,1,1,1.0,1
arangments,arrangements,arrangements,1,1,1.0,2
arargements,arrangements,arrangements,1,1,1.0,2
arigments,arrangements,arguments,0,0,0.0,4
arragements,arrangements,arrangements,1,1,1.0,1
arraingements,arrangements,arrangements,1,1,1.0,1
arraingments,arrangements,arrangements,1,1,1.0,2
arramgements,arrangements,arrangements,1,1,1.0,1
arramgments,arrangements,arrangements,1,1,1.0,2
arrangemence,arrangements,arrangement,0,1,0.5,2
arrangement,arrangements,arrangement,0,0,0.0,1
arrangenent,arrangements,arrangement,0,1,0.5,2
arrangesments,arrangements,arrangements,1,1,1.0,1
arrangment,arrangements,arrangement,0,1,0.5,2
arrangments,arrangements,arrangements,1,1,1.0,1
arrangnents,arrangements,arrangements,1,1,1.0,2
aranging,arranging,ranging,0,1,0.5,1
arest,arrest,are,0,0,0.0,1
arival,arrival,arrival,1,1,1.0,1
arrivial,arrival,arrival,1,1,1.0,1
arive,arrive,are,0,0,0.0,1
arived,arrived,arrived,1,1,1.0,1
arrive,arrived,arrive,0,0,0.0,1
arow,arrow,arow,0,0,0.0,1
arte,art,arte,0,0,0.0,1
ort,art,ort,0,0,0.0,1
art-room,art_room,art_room,1,1,1.0,1
arery,arteries,are,0,0,0.0,4
arctical,article,practical,0,0,0.0,3
artekal,article,arterial,0,1,0.2,4
artical,article,article,1,1,1.0,2
articals,articles,article,0,1,0.5,2
artefishel,artificial,artificial,1,1,1.0,4
artifical,artificial,artificial,1,1,1.0,1
artest,artist,artist,1,1,1.0,1
a,as,a,0,0,0.0,1
aas,as,was,0,1,0.5,1
als,as,als,0,0,0.0,1
asw,as,asw,0,0,0.0,1
at,as,at,0,0,0.0,1
has,as,has,0,0,0.0,1
hase,as,has,0,0,0.0,2
have,as,have,0,0,0.0,3
his,as,his,0,0,0.0,2
is,as,is,0,0,0.0,1
saw,as,saw,0,0,0.0,2
tes,as,the,0,0,0.0,2
was,as,was,0,0,0.0,1
aswell,as_well,aswell,0,0,0.0,1
accertain,ascertain,certain,0,1,0.5,1
accertained,ascertain,ascertained,0,1,0.5,3
acertain,ascertain,certain,0,1,0.5,1
acertained,ascertain,ascertained,0,1,0.3333333333333333,3
ascertaine,ascertain,ascertained,0,1,0.5,1
ascertained,ascertain,ascertained,0,0,0.0,2
ascertan,ascertain,ascertain,1,1,1.0,1
ascertiau,ascertain,ascertain,1,1,1.0,2
ascertoined,ascertain,ascertained,0,1,0.5,3
ascurtain,ascertain,ascertain,1,1,1.0,1
asentain,ascertain,maintain,0,1,0.5,2
asertain,ascertain,certain,0,1,0.5,1
asertained,ascertain,ascertained,0,1,0.3333333333333333,3
assatain,ascertain,assassin,0,0,0.0,3
asscertain,ascertain,ascertain,1,1,1.0,1
assertain,ascertain,ascertain,1,1,1.0,1
assertainal,ascertain,ascertain,1,1,1.0,3
assertaine,ascertain,ascertained,0,1,0.5,2
assertained,ascertain,ascertained,0,1,0.3333333333333333,3
assertaining,ascertain,ascertaining,0,1,0.3333333333333333,4
assertan,ascertain,assert,0,1,0.25,2
assertant,ascertain,assistant,0,0,0.0,3
assertion,ascertain,assertion,0,0,0.0,3
assortain,ascertain,ascertain,1,1,1.0,2
assrtain,ascertain,ascertain,1,1,1.0,2
asstained,ascertain,sustained,0,0,0.0,5
assterane,ascertain,assurance,0,0,0.0,5
asstertain,ascertain,ascertain,1,1,1.0,2
assurtain,ascertain,ascertain,1,1,1.0,2
assurtained,ascertain,ascertained,0,1,0.3333333333333333,4
asterane,ascertain,astern,0,0,0.0,4
astertain,ascertain,ascertain,1,1,1.0,1
astertained,ascertain,ascertained,0,0,0.0,3
asurtaine,ascertain,ascertained,0,1,0.5,3
asurtand,ascertain,assured,0,1,0.2,4
asurtane,ascertain,assurance,0,1,0.5,4
acsertained,ascertained,ascertained,1,1,1.0,1
ashame,ashamed,ashame,0,0,0.0,1
ashed,ashamed,asked,0,0,0.0,2
ashers,ashes,others,0,1,0.3333333333333333,1
ashis,ashes,his,0,1,0.3333333333333333,1
addise,aside,advise,0,0,0.0,3
assinine,asinine,asinine,1,1,1.0,1
ack,ask,ack,0,0,0.0,1
arsc,ask,as,0,0,0.0,2
aske,ask,aske,0,0,0.0,1
ask,asked,ask,0,0,0.0,2
askt,asked,as,0,0,0.0,2
askeing,asking,asking,1,1,1.0,1
askin,asking,asking,1,1,1.0,1
a_sleep,asleep,asleep,1,1,1.0,1
asleeep,asleep,asleep,1,1,1.0,1
aslep,asleep,asleep,1,1,1.0,1
aspeat,aspect,aspect,1,1,1.0,1
ashpalt,asphalt,shalt,0,1,0.5,1
ashphelt,asphalt,asphalt,1,1,1.0,2
asphelt,asphalt,asphalt,1,1,1.0,1
assasinate,assassinate,assassinate,1,1,1.0,1
assembeleis,assemblies,assemblies,1,1,1.0,2
assembelies,assemblies,assemblies,1,1,1.0,1
assemblys,assemblies,assembly,0,1,0.3333333333333333,2
semblys,assemblies,assembly,0,0,0.0,4
asemble,assembly,assemble,0,1,0.3333333333333333,2
asembly,assembly,assembly,1,1,1.0,1
asemnly,assembly,assembly,1,1,1.0,2
assambly,assembly,assembly,1,1,1.0,1
assembaly,assembly,assembly,1,1,1.0,1
assemberly,assembly,assembly,1,1,1.0,2
assemble,assembly,assemble,0,0,0.0,1
assembley,assembly,assembly,1,1,1.0,1
assemly,assembly,assembly,1,1,1.0,1
esembly,assembly,assembly,1,1,1.0,2
accesing,assessing,accessing,0,0,0.0,3
assesment,assessment,assesment,0,0,0.0,1
assidious,assiduous,assiduous,1,1,1.0,1
assighnments,assignments,assignments,1,1,1.0,1
assigmments,assignments,assignments,1,1,1.0,1
asist,assist,assist,1,1,1.0,1
assistence,assistance,assistance,1,1,1.0,1
assitance,assistance,assistance,1,1,1.0,1
assisstant,assistant,assistant,1,1,1.0,1
associat,associate,associate,1,1,1.0,1
associate,associate,associate,1,1,1.0,0
assiciated,associated,associated,1,1,1.0,1
assocaited,associated,associated,1,1,1.0,1
assosiated,associated,associated,1,1,1.0,1
accociation,association,association,1,1,1.0,2
ascociation,association,association,1,1,1.0,1
asociation,association,association,1,1,1.0,1
assocation,association,assocation,0,0,0.0,1
assoon,assume,soon,0,0,0.0,3
asume,assume,some,0,1,0.5,1
asure,assure,sure,0,1,0.3333333333333333,1
asured,assured,assured,1,1,1.0,1
athsma,asthma,asthma,1,1,1.0,2
astonomy,astronomy,astronomy,1,1,1.0,1
assymmetric,asymmetric,asymmetric,1,1,1.0,1
assymmetrical,asymmetrical,asymmetrical,1,1,1.0,1
assymnerical,asymmetrical,asymmetrical,1,1,1.0,3
assymmetry,asymmetry,asymmetry,1,1,1.0,1
assymnetry,asymmetry,asymmetry,1,1,1.0,2
asyme,asymmetry,syme,0,0,0.0,4
asyncronously,asynchronously,asynchronously,1,1,1.0,1
a,at,a,0,0,0.0,1
al,at,al,0,0,0.0,1
an,at,an,0,0,0.0,1
as,at,as,0,0,0.0,1
att,at,att,0,0,0.0,1
atall,at_all,all,0,0,0.0,1
atleast,at_least,least,0,1,0.5,1
aet,ate,aet,0,0,0.0,1
athlette,athlete,athlete,1,1,1.0,1
atheletic,athletic,athletic,1,1,1.0,1
athaletics,athletics,athletics,1,1,1.0,1
atheletics,athletics,athletics,1,1,1.0,1
athetics,athletics,athletics,1,1,1.0,1
atmosfere,atmosphere,atmosphere,1,1,1.0,2
atmospher,atmosphere,atmosphere,1,1,1.0,1
atmousphere,atmosphere,atmosphere,1,1,1.0,1
atom,atoms,atom,0,0,0.0,1
attache,attach,attache,0,0,0.0,1
atached,attached,attached,1,1,1.0,1
attacked,attached,attacked,0,0,0.0,1
actacting,attaching,attaching,1,1,1.0,2
acttaching,attaching,attaching,1,1,1.0,1
apatching,attaching,watching,0,1,0.2,2
ataching,attaching,attaching,1,1,1.0,1
atacing,attaching,taking,0,1,0.3333333333333333,2
atashing,attaching,washing,0,1,0.3333333333333333,2
atatching,attaching,watching,0,1,0.5,1
atcatching,attaching,catching,0,1,0.3333333333333333,2
atcating,attaching,acting,0,0,0.0,3
atching,attaching,watching,0,0,0.0,2
atocjoes,attaching,atokous,0,0,0.0,6
atouching,attaching,touching,0,1,0.5,2
attachaing,attaching,attaching,1,1,1.0,1
attache,attaching,attache,0,0,0.0,3
attachea,attaching,attached,0,0,0.0,3
attached,attaching,attached,0,0,0.0,3
attacheing,attaching,attaching,1,1,1.0,1
attachion,attaching,attaching,1,1,1.0,2
attacking,attaching,attacking,0,0,0.0,1
attactching,attaching,attaching,1,1,1.0,2
attacting,attaching,attaching,1,1,1.0,1
attashing,attaching,attaching,1,1,1.0,1
attatchig,attaching,attaching,1,1,1.0,2
attatching,attaching,attaching,1,1,1.0,1
attationing,attaching,attaining,0,0,0.0,4
attatsetting,attaching,athetize,0,0,0.0,5
attching,attaching,attaching,1,1,1.0,1
attecting,attaching,attempting,0,0,0.0,2
atticating,attaching,attracting,0,0,0.0,3
attiching,attaching,attaching,1,1,1.0,1
attracting,attaching,attracting,0,0,0.0,2
otacting,attaching,acting,0,0,0.0,3
attach,attack,attach,0,0,0.0,1
atacked,attacked,attacked,1,1,1.0,1
atempt,attempt,attempt,1,1,1.0,1
atend,attend,and,0,1,0.5,1
attendence,attendance,attendence,0,0,0.0,1
atended,attended,attended,1,1,1.0,1
attened,attended,attend,0,1,0.5,1
atending,attending,attending,1,1,1.0,1
atention,attention,attention,1,1,1.0,1
attentin,attention,attention,1,1,1.0,1
atic,attic,at,0,1,0.2,1
atitude,attitude,attitude,1,1,1.0,1
arteny,attorney,artery,0,0,0.0,4
arterny,attorney,artery,0,0,0.0,3
aterna,attorney,after,0,0,0.0,4
aterney,attorney,attorney,1,1,1.0,2
aterning,attorney,turning,0,0,0.0,5
aterny,attorney,after,0,0,0.0,3
atorney,attorney,attorney,1,1,1.0,1
attaney,attorney,attorney,1,1,1.0,2
atternary,attorney,attorney,1,1,1.0,3
atterney,attorney,attorney,1,1,1.0,1
atterny,attorney,pattern,0,1,0.25,2
atturney,attorney,attorney,1,1,1.0,1
aturne,attorney,turned,0,0,0.0,3
aturney,attorney,turned,0,1,0.5,2
aturny,attorney,turn,0,0,0.0,3
atury,attorney,nature,0,0,0.0,4
eneretel,attorney,entereth,0,0,0.0,7
entany,attorney,entry,0,0,0.0,5
entely,attorney,enter,0,0,0.0,6
entereny,attorney,entered,0,0,0.0,4
enterny,attorney,enter,0,0,0.0,4
ertany,attorney,germany,0,0,0.0,5
ertenely,attorney,serenely,0,0,0.0,5
erterey,attorney,entered,0,0,0.0,4
erterney,attorney,eterne,0,0,0.0,3
erternly,attorney,sternly,0,0,0.0,4
erterny,attorney,western,0,0,0.0,4
ertiney,attorney,certain,0,0,0.0,4
eterany,attorney,eternal,0,0,0.0,5
eterny,attorney,every,0,0,0.0,4
interne,attorney,interne,0,0,0.0,4
aternies,attorneys,arteries,0,0,0.0,4
atorneys,attorneys,attorneys,1,1,1.0,1
atourneys,attorneys,attorneys,1,1,1.0,2
atournys,attorneys,attorneys,1,1,1.0,3
atterenys,attorneys,attorneys,1,1,1.0,2
atterinies,attorneys,batteries,0,1,0.2,4
atterneys,attorneys,attorneys,1,1,1.0,1
atternies,attorneys,batteries,0,1,0.2,3
atternys,attorneys,patterns,0,1,0.5,2
attonereys,attorneys,attorneys,1,1,1.0,3
attoneys,attorneys,attorneys,1,1,1.0,1
attorneies,attorneys,attorneys,1,1,1.0,2
attorneis,attorneys,attorneys,1,1,1.0,1
attornenies,attorneys,attorneys,1,1,1.0,3
attorney,attorneys,attorney,0,0,0.0,1
attorney's,attorneys,attorney,0,1,0.5,1
attornies,attorneys,attorney,0,1,0.5,2
attorniies,attorneys,attorney,0,1,0.5,3
attornites,attorneys,attorney,0,1,0.5,3
attornnies,attorneys,attorney,0,1,0.5,3
attornties,attorneys,attorney,0,1,0.5,3
attorny's,attorneys,attorneys,1,1,1.0,2
attornyes,attorneys,attorneys,1,1,1.0,1
attornys,attorneys,attorneys,1,1,1.0,1
attoronies,attorneys,attorney,0,1,0.5,3
attourneis,attorneys,attorneys,1,1,1.0,2
attourney's,attorneys,attorneys,1,1,1.0,2
attourneys,attorneys,attorneys,1,1,1.0,1
attournies,attorneys,attorney,0,1,0.5,3
attourny,attorneys,attorney,0,1,0.5,3
attournyes,attorneys,attorneys,1,1,1.0,2
attournys,attorneys,attorneys,1,1,1.0,2
atturney-,attorneys,attorney,0,1,0.5,2
atturneys,attorneys,attorneys,1,1,1.0,1
atturnies,attorneys,attorney,0,1,0.5,3
aturneys,attorneys,attorneys,1,1,1.0,2
aturning,attorneys,turning,0,0,0.0,5
aturnyes,attorneys,features,0,1,0.3333333333333333,3
atract,attract,attract,1,1,1.0,1
atraction,attraction,attraction,1,1,1.0,1
attracktions,attractions,attractions,1,1,1.0,1
atractive,attractive,attractive,1,1,1.0,1
audiance,audience,audience,1,1,1.0,1
ordiance,audience,ordinance,0,0,0.0,3
adatorum,auditorium,auditorium,1,1,1.0,3
additorium,auditorium,auditorium,1,1,1.0,1
adetoreum,auditorium,auditorium,1,1,1.0,3
aditorium,auditorium,auditorium,1,1,1.0,1
aditorum,auditorium,auditorium,1,1,1.0,2
aduitorum,auditorium,auditorium,1,1,1.0,2
aduoteriam,auditorium,radioteria,0,1,0.5,4
adutorium,auditorium,auditorium,1,1,1.0,2
allortomdd,auditorium,already,0,0,0.0,8
allturman,auditorium,altar,0,0,0.0,7
arudtiorze,auditorium,arthur,0,0,0.0,5
attoram,auditorium,attorney,0,0,0.0,5
attorium,auditorium,attorney,0,0,0.0,3
audaterame,auditorium,auditorium,1,1,1.0,5
audatoreum,auditorium,auditorium,1,1,1.0,2
audatorium,auditorium,auditorium,1,1,1.0,1
audatorum,auditorium,auditorium,1,1,1.0,2
audetorium,auditorium,auditorium,1,1,1.0,1
audetorn,auditorium,auditors,0,1,0.3333333333333333,4
audiatorum,auditorium,auditorium,1,1,1.0,2
audiortium,auditorium,auditorium,1,1,1.0,2
audiotorium,auditorium,auditorium,1,1,1.0,1
auditarium,auditorium,auditorium,1,1,1.0,1
auditiorm,auditorium,auditors,0,1,0.5,3
auditoium,auditorium,auditorium,1,1,1.0,1
auditor,auditorium,auditor,0,0,0.0,3
auditoreum,auditorium,auditorium,1,1,1.0,1
auditorial,auditorium,auditorial,0,0,0.0,2
auditoriam,auditorium,auditorium,1,1,1.0,1
auditorim,auditorium,auditorium,1,1,1.0,1
auditorimn,auditorium,auditorium,1,1,1.0,2
auditorinum,auditorium,auditorium,1,1,1.0,1
auditoriom,auditorium,auditorium,1,1,1.0,1
auditoriumn,auditorium,auditorium,1,1,1.0,1
auditoriun,auditorium,auditorium,1,1,1.0,1
auditorm,auditorium,auditors,0,1,0.5,2
auditormeon,auditorium,auditors,0,1,0.5,4
auditormunen,auditorium,auditors,0,1,0.5,4
auditoruium,auditorium,auditorium,1,1,1.0,1
auditorum,auditorium,auditorium,1,1,1.0,1
auditorumen,auditorium,auditorium,1,1,1.0,3
auditory,auditorium,auditory,0,0,0.0,3
auditorym,auditorium,auditorium,1,1,1.0,2
auditoryum,auditorium,auditorium,1,1,1.0,1
auditouim,auditorium,auditorium,1,1,1.0,2
auditourin,auditorium,auditorium,1,1,1.0,3
audortorium,auditorium,auditorium,1,1,1.0,2
audortum,auditorium,authority,0,0,0.0,3
audotorium,auditorium,auditorium,1,1,1.0,1
autatorom,auditorium,auditorium,1,1,1.0,4
autatorum,auditorium,auditorium,1,1,1.0,3
authorium,auditorium,authority,0,1,0.25,3
autitorium,auditorium,auditorium,1,1,1.0,1
autitorum,auditorium,auditorium,1,1,1.0,2
autorm,auditorium,auto,0,0,0.0,4
autormen,auditorium,torment,0,0,0.0,5
autoruim,auditorium,attorney,0,0,0.0,3
autorum,auditorium,quorum,0,0,0.0,3
autotorium,auditorium,auditorium,1,1,1.0,2
auttortism,auditorium,authority,0,0,0.0,4
oratoroum,auditorium,oratorio,0,0,0.0,5
ottatorium,auditorium,natatorium,0,0,0.0,4
ouditorium,auditorium,auditorium,1,1,1.0,1
agust,august,agust,0,0,0.0,1
augest,august,august,1,1,1.0,1
aante,aunt,and,0,0,0.0,2
aint,aunt,aint,0,0,0.0,1
anit,aunt,and,0,0,0.0,2
annt,aunt,and,0,0,0.0,1
ant,aunt,ant,0,0,0.0,1
ante,aunt,ante,0,0,0.0,2
antie,aunt,and,0,0,0.0,3
anut,aunt,and,0,0,0.0,1
arnt,aunt,and,0,0,0.0,1
arnte,aunt,are,0,0,0.0,2
arte,aunt,arte,0,0,0.0,3
atan,aunt,at,0,0,0.0,3
auant,aunt,auant,0,0,0.0,1
auine,aunt,in,0,0,0.0,2
aunit,aunt,unit,0,1,0.3333333333333333,1
aunte,aunt,and,0,1,0.3333333333333333,1
hrnt,aunt,that,0,0,0.0,2
nuet,aunt,net,0,0,0.0,2
ornt,aunt,or,0,0,0.0,2
urnt,aunt,unto,0,0,0.0,2
auther,author,other,0,0,0.0,1
authorative,authoritative,authoritative,1,1,1.0,2
athority,authority,authority,1,1,1.0,1
ato,auto,to,0,0,0.0,1
oto,auto,oto,0,0,0.0,2
outo,auto,outo,0,0,0.0,1
autgraph,autograph,autograph,1,1,1.0,1
autumatic,automatic,automatic,1,1,1.0,1
aucomobile,automobile,automobile,1,1,1.0,1
automible,automobile,automobile,1,1,1.0,2
automoble,automobile,automobile,1,1,1.0,1
autum,autumn,autumn,1,1,1.0,1
auxillary,auxiliary,auxiliary,1,1,1.0,1
avaiblity,availability,arability,0,0,0.0,3
abaydall,available,baygall,0,0,0.0,5
advalable,available,available,1,1,1.0,2
advalbal,available,atabal,0,0,0.0,4
avable,available,able,0,0,0.0,3
avableue,available,savable,0,0,0.0,4
avaiable,available,avaiable,0,0,0.0,1
avaible,available,available,1,1,1.0,2
availabe,available,available,1,1,1.0,1
availble,available,available,1,1,1.0,1
availiable,available,available,1,1,1.0,1
availible,available,available,1,1,1.0,1
availieble,available,available,1,1,1.0,2
avalable,available,available,1,1,1.0,1
avalaible,available,available,1,1,1.0,2
avalbal,available,available,1,1,1.0,3
avalball,available,available,1,1,1.0,3
avaliable,available,avaliable,0,0,0.0,1
avalibale,available,available,1,1,1.0,2
avalible,available,available,1,1,1.0,2
avape,available,have,0,0,0.0,4
